,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
2185,2185,"In a heterozygote with one dominant and one recessive allele, which is expressed?",dominant elements,dominant atoms,submissive allele,dominant allele,"The expression of an organism's genotype is called its phenotype . The phenotype refers to the organism's traits, such as purple or white flowers. Different genotypes may produce the same phenotype. This will be the case if one allele is dominant to the other. Both BB and Bb genotypes in Table 6.1 have purple flowers. That's because the B allele is dominant to the b allele, which is recessive. The terms dominant and recessive are the terms Mendel used to describe his ""factors. "" Today we use them to describe alleles. In a Bb heterozygote, only the dominant B allele is expressed. The recessive b allele is expressed only in the bb genotype.",A,A,D,A,D,C
2188,2188,Water-soluble carboxylic acids ionize slightly in water to form these?,very acidic solutions,solvents,nonacidic solutions,moderately acidic solutions,Water-soluble carboxylic acids ionize slightly in water to form moderately acidic solutions.,A,D,A,A,D,A
2192,2192,"What is broken during catabolic reactions, such as the breakdown of complex carbohydrates into simple sugars?",metals,ions,forms,bonds,"Catabolic reactions involve breaking bonds. Larger molecules are broken down to smaller ones. For example, complex carbohydrates are broken down to simple sugars. Catabolic reactions release energy, so they are exothermic.",B,D,B,A,A,B
2193,2193,"The actual amount (mass) of gasoline left in the tank when the gauge hits “empty” is a lot less in the summer than in the winter. the gasoline has the same volume as it does in the winter when the “add fuel” light goes on, but because the gasoline has expanded, there is what?",more mass,lower gravity,same mass,less mass,"Making Connections: Real-World Connections—Filling the Tank Differences in the thermal expansion of materials can lead to interesting effects at the gas station. One example is the dripping of gasoline from a freshly filled tank on a hot day. Gasoline starts out at the temperature of the ground under the gas station, which is cooler than the air temperature above. The gasoline cools the steel tank when it is filled. Both gasoline and steel tank expand as they warm to air temperature, but gasoline expands much more than steel, and so it may overflow. This difference in expansion can also cause problems when interpreting the gasoline gauge. The actual amount (mass) of gasoline left in the tank when the gauge hits “empty” is a lot less in the summer than in the winter. The gasoline has the same volume as it does in the winter when the “add fuel” light goes on, but because the gasoline has expanded, there is less mass. If you are used to getting another 40 miles on “empty” in the winter, beware—you will probably run out much more quickly in the summer.",D,D,B,A,D,D
2212,2212,Most scientists think that ordinary matter makes up how much of the total matter in the universe?,more than half,greater than half,about half,less than half,Most scientists who study dark matter think it is a combination. Ordinary matter is part of it. That is mixed with some kind of matter that we haven’t discovered yet. Most scientists think that ordinary matter is less than half of the total matter in the Universe.,D,A,C,D,C,A
2216,2216,What is the mildest type of brain injury?,dementia,blunt trauma,hydrocephalus,concussion,"The mildest and most common type of brain injury is a concussion . This is a bruise on the surface of the brain. It may cause temporary problems such as headache, drowsiness, and confusion. Most concussions in young people occur when they are playing sports, especially contact sports like football. Other sports, like soccer, boxing, baseball, lacrosse, skateboarding, and hockey can also result in concussions. A concussion normally heals on its own in a few days.",D,D,C,C,A,A
2219,2219,Why will water balloons launched into the air eventually burst?,friction,heat,momentum,expansion,"Each day, hundreds of weather balloons are launched. Made of a synthetic rubber and carrying a box of instruments, the helium-filled balloon rises up into the sky. As it gains altitude, the atmospheric pressure becomes less and the balloon expands. At some point the balloon bursts due to the expansion, the instruments drop (aided by a parachute) to be retrieved and studied for information about the weather.",D,D,B,D,D,A
2220,2220,What type of behaviors do not have to be learned or practiced?,diverse behaviors,protective behaviors,acquired behaviors,innate behaviors,Innate behaviors do not have to be learned or practiced.,B,D,B,A,D,A
2221,2221,Terrestrial biomes are classified by the climate and their what?,geography,habitat,pollution,biodiversity,"Terrestrial biomes are classified by the climate and their biodiversity , especially the types of primary producers . The world map in Figure below shows where 13 major terrestrial biomes are found.",C,D,B,C,C,C
2231,2231,What organism carries out only fermentation or anaerobic respiration?,aldehydes,metabolites,aerobicc enzymes,obligate anaerobes,,D,D,C,B,B,D
2232,2232,What are the smallest type of blood vessel?,arteries,varicose veins,spider veins,capillaries,"Further away from the heart, the aorta branches into smaller arteries, which eventually branch into capillaries. Capillaries are the smallest type of blood vessel; they connect very small arteries and veins. Gases and other substances are exchanged between cells and the blood across the very thin walls of capillaries.",A,A,D,A,A,A
